תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה
2020-03-11,80,37.5,49.0,18.0,<15,33.3,69.0,18.1,72,37.5,47.0,16.7,NULL,NULL,NULL,NULL,<15,42.9,71.0,17.5
2020-03-12,102,40.2,50.0,18.4,<15,33.3,69.0,18.1,94,40.4,49.0,17.7,NULL,NULL,NULL,NULL,<15,42.9,71.0,17.5
2020-03-13,122,40.2,49.0,18.3,<15,33.3,69.0,18.1,111,39.6,47.0,17.3,<15,50.0,65.0,17.5,<15,42.9,71.0,17.5
2020-03-14,161,42.2,47.0,18.4,<15,25.0,76.0,12.8,151,42.4,46.0,17.3,<15,50.0,65.0,17.5,<15,33.3,80.0,11.2
2020-03-15,200,45.5,47.0,18.7,<15,33.3,77.0,10.3,185,45.4,45.0,17.4,<15,50.0,59.0,15.1,<15,44.4,81.0,9.6
2020-03-16,220,44.5,47.0,18.8,<15,28.6,78.0,9.4,204,44.6,45.0,17.7,<15,60.0,55.0,12.8,<15,36.4,79.0,9.2
2020-03-17,255,45.1,47.0,19.3,<15,28.6,78.0,9.4,237,45.6,46.0,18.4,<15,50.0,52.0,13.2,<15,33.3,78.0,9.5
2020-03-18,305,43.6,47.0,19.3,<15,28.6,78.0,9.4,278,45.0,45.0,18.5,<15,27.3,57.0,13.6,16,31.3,76.0,10.7
2020-03-19,294,42.5,48.0,19.9,<15,41.7,73.0,14.0,262,43.5,46.0,19.1,<15,27.3,59.0,12.5,21,38.1,73.0,12.9
2020-03-20,288,43.4,50.0,19.4,<15,41.7,73.0,14.0,251,44.6,48.0,19.0,<15,28.6,57.0,11.2,23,39.1,72.0,12.5
2020-03-21,275,42.2,52.0,19.7,15,40.0,70.0,13.7,227,43.6,49.0,19.4,21,33.3,60.0,10.7,27,37.0,72.0,13.1
2020-03-22,325,43.4,53.0,20.0,22,27.3,68.0,14.7,256,46.9,49.0,19.4,32,31.3,65.0,13.7,37,29.7,71.0,14.4
2020-03-23,350,43.4,55.0,20.0,24,29.2,70.0,12.5,272,45.6,51.0,19.3,36,36.1,66.0,14.7,42,35.7,73.0,12.8
2020-03-24,394,41.4,54.0,20.2,26,23.1,68.0,18.5,301,44.9,50.0,19.6,48,31.3,66.0,13.6,45,28.9,71.0,17.5
2020-03-25,413,40.0,55.0,20.3,27,29.6,66.0,19.8,312,43.3,51.0,20.0,53,28.3,65.0,13.3,48,31.3,70.0,18.4
2020-03-26,464,40.9,55.0,20.2,31,25.8,64.0,18.6,345,44.6,51.0,20.3,65,33.8,63.0,14.0,54,25.9,67.0,17.9
2020-03-27,515,40.8,55.0,20.8,36,22.2,63.0,20.1,381,45.1,52.0,21.1,69,29.0,64.0,13.5,65,27.7,67.0,18.8
2020-03-28,512,39.6,56.0,20.8,39,23.1,62.0,19.7,361,44.0,53.0,21.3,82,26.8,64.0,14.0,69,31.9,67.0,18.5
2020-03-29,542,38.0,57.0,20.4,50,18.0,63.0,17.5,377,42.4,53.0,21.1,87,28.7,65.0,14.6,78,26.9,66.0,16.9
2020-03-30,619,37.8,57.0,20.6,54,14.8,67.0,14.3,426,42.0,53.0,21.3,106,29.2,64.0,16.1,87,27.6,68.0,15.5
2020-03-31,667,37.3,58.0,20.1,64,17.2,66.0,14.5,455,41.1,54.0,20.5,115,31.3,65.0,17.1,97,26.8,68.0,14.9
2020-04-01,769,36.9,59.0,20.0,72,13.9,67.0,15.1,515,42.1,55.0,20.7,143,28.0,67.0,15.5,111,24.3,69.0,15.0
2020-04-02,813,38.3,59.0,19.6,79,16.5,67.0,14.3,555,43.4,56.0,20.3,145,28.3,66.0,16.1,113,25.7,68.0,14.3
2020-04-03,804,38.3,60.0,19.7,92,19.6,67.0,14.7,517,43.9,55.0,20.5,158,28.5,66.0,15.8,129,27.9,68.0,15.3
2020-04-04,790,37.3,60.0,20.0,107,19.6,66.0,15.3,481,44.7,56.0,21.3,170,26.5,66.0,15.6,139,25.2,68.0,15.5
2020-04-05,826,37.9,60.0,19.6,106,18.9,65.0,14.8,498,45.2,56.0,20.8,193,29.5,67.0,15.6,135,23.0,67.0,15.3
2020-04-06,808,37.4,62.0,19.0,110,17.3,65.0,15.2,454,42.3,57.0,20.1,207,36.7,69.0,15.5,147,23.1,67.0,15.4
2020-04-07,743,37.3,62.0,18.9,106,19.8,65.0,15.4,385,43.4,58.0,20.7,199,35.7,68.0,15.4,159,24.5,67.0,15.2
2020-04-08,691,37.3,63.0,18.8,114,19.3,65.0,15.2,334,45.2,58.0,20.8,192,33.3,68.0,15.5,165,26.1,67.0,15.2
2020-04-09,667,39.0,63.0,19.4,117,18.8,64.0,15.0,315,49.2,58.0,21.7,186,36.6,69.0,16.7,166,22.3,66.0,14.7
2020-04-10,670,39.4,63.0,19.5,128,20.3,65.0,15.1,332,50.0,57.0,21.4,169,35.5,70.0,16.5,169,22.5,66.0,14.8
2020-04-11,628,39.5,64.0,18.8,130,19.2,66.0,14.6,285,49.1,59.0,20.9,161,40.4,71.0,15.9,182,23.6,66.0,15.0
2020-04-12,669,39.9,64.0,18.8,130,18.5,66.0,14.7,318,46.9,60.0,21.0,174,43.1,69.0,16.5,177,24.3,67.0,15.0
2020-04-13,689,40.9,65.0,19.3,137,17.5,66.0,15.7,328,48.8,61.0,21.8,169,42.6,70.0,15.9,192,26.0,67.0,15.6
2020-04-14,672,42.3,66.0,19.3,135,18.5,66.0,15.9,325,50.5,62.0,22.0,169,45.0,71.0,15.4,178,24.7,67.0,15.7
2020-04-15,671,42.5,66.0,19.3,133,19.5,66.0,16.0,317,50.2,62.0,22.1,174,44.8,71.0,15.1,180,26.7,67.0,16.3
2020-04-16,702,42.9,64.0,20.3,136,20.6,65.0,16.6,359,51.3,60.0,23.0,162,44.4,71.0,15.3,181,24.9,66.0,16.3
2020-04-17,663,42.7,65.0,20.0,125,19.2,64.0,16.0,334,51.2,61.0,22.9,163,43.6,71.0,15.3,166,24.7,66.0,15.9
2020-04-18,642,43.0,64.0,20.4,118,18.6,65.0,15.6,327,52.3,60.0,23.4,141,46.1,72.0,15.4,174,23.0,66.0,15.3
2020-04-19,618,43.2,64.0,19.8,118,17.8,65.0,14.8,314,52.2,60.0,22.5,147,48.3,72.0,15.8,157,20.4,66.0,14.7
2020-04-20,611,44.2,64.0,19.9,123,19.5,66.0,15.2,322,52.2,60.0,22.4,134,49.3,72.0,15.3,155,23.2,66.0,15.4
2020-04-21,543,43.1,65.0,19.4,119,19.3,66.0,14.8,251,51.8,60.0,22.1,147,49.0,72.0,15.4,145,22.1,66.0,15.4
2020-04-22,531,41.2,65.0,19.5,110,19.1,66.0,14.6,258,50.0,60.0,22.1,124,44.4,72.0,16.1,149,23.5,67.0,14.9
2020-04-23,502,39.2,64.0,19.8,114,17.5,67.0,14.1,249,47.4,60.0,22.6,107,42.1,72.0,15.1,146,23.3,67.0,15.0
2020-04-24,461,39.3,65.0,19.7,108,18.5,68.0,14.5,208,48.6,59.0,22.6,109,39.4,71.0,15.9,144,25.7,69.0,15.1
2020-04-25,441,39.9,65.0,19.5,107,15.9,67.0,14.6,200,49.0,59.0,22.4,105,44.8,72.0,14.7,136,22.8,68.0,15.5
2020-04-26,440,39.5,64.0,19.5,111,16.2,67.0,15.4,206,46.6,59.0,21.6,92,47.8,72.0,15.1,142,23.9,67.0,16.7
2020-04-27,411,39.4,66.0,18.6,102,16.7,67.0,15.6,190,46.3,61.0,20.9,88,51.1,73.0,13.2,133,21.8,67.0,16.5
2020-04-28,390,39.7,65.0,19.7,101,16.8,67.0,16.4,177,48.6,60.0,22.5,85,48.2,72.0,14.1,128,21.9,68.0,16.8
2020-04-29,376,41.2,65.0,19.7,96,16.7,67.0,15.2,168,52.4,59.0,22.7,87,42.5,70.0,14.1,121,24.8,68.0,16.8
2020-04-30,377,40.8,65.0,19.8,90,16.7,66.0,15.3,176,51.7,61.0,21.7,88,39.8,69.0,18.1,113,24.8,68.0,16.6
2020-05-01,350,41.4,64.0,20.3,89,16.9,66.0,15.7,154,52.6,57.0,22.8,85,44.7,71.0,15.2,111,23.4,68.0,17.0
2020-05-02,334,43.1,65.0,20.0,90,17.8,67.0,14.3,155,57.4,59.0,22.4,67,41.8,73.0,14.6,112,24.1,68.0,16.7
2020-05-03,322,44.7,65.0,20.5,83,16.9,66.0,13.9,149,57.7,58.0,23.0,71,47.9,74.0,15.8,102,23.5,67.0,16.4
2020-05-04,317,43.2,64.0,21.2,77,18.2,67.0,13.8,146,55.5,56.0,23.4,73,43.8,73.0,16.6,98,24.5,68.0,16.6
2020-05-05,275,44.0,65.0,21.2,71,18.3,66.0,13.9,118,60.2,57.0,24.0,65,43.1,74.0,16.4,92,23.9,67.0,16.8
2020-05-06,267,43.1,65.0,20.6,69,18.8,66.0,13.9,116,57.8,57.0,22.7,62,40.3,75.0,15.6,89,25.8,67.0,16.9
2020-05-07,256,43.8,65.0,19.7,70,18.6,66.0,13.8,110,58.2,58.0,22.2,61,42.6,75.0,16.1,85,25.9,68.0,14.2
2020-05-08,239,46.0,66.0,19.3,63,20.6,67.0,13.8,107,58.9,60.0,21.9,54,51.9,74.0,16.5,78,24.4,68.0,14.3
2020-05-09,237,46.0,65.0,19.8,62,21.0,67.0,13.9,111,62.2,59.0,22.8,49,42.9,73.0,16.1,77,24.7,68.0,14.4
2020-05-10,240,43.8,64.0,19.8,64,20.3,67.0,14.3,117,58.1,58.0,22.2,50,44.0,72.0,16.5,73,20.5,68.0,14.5
2020-05-11,223,44.4,66.0,19.3,58,19.0,67.0,15.4,102,60.8,60.0,21.7,53,45.3,73.0,16.0,68,19.1,68.0,15.4
2020-05-12,218,45.0,66.0,19.1,54,22.2,66.0,15.3,102,58.8,62.0,21.8,52,44.2,71.0,17.2,64,23.4,68.0,14.5
2020-05-13,195,43.6,67.0,18.7,51,23.5,67.0,13.9,88,56.8,64.0,21.3,47,44.7,70.0,17.6,60,23.3,68.0,14.6
2020-05-14,186,44.1,65.0,19.4,50,24.0,67.0,14.1,84,59.5,61.0,22.7,42,42.9,69.0,17.3,60,23.3,68.0,14.5
2020-05-15,179,44.7,66.0,19.3,50,24.0,67.0,14.1,77,62.3,62.0,22.7,42,42.9,70.0,17.6,60,23.3,68.0,14.5
2020-05-16,175,45.1,65.0,19.3,49,24.5,67.0,14.2,77,62.3,61.0,22.7,39,43.6,70.0,16.8,59,23.7,68.0,14.6
2020-05-17,184,46.2,65.0,19.6,43,25.6,67.0,14.6,92,62.0,62.0,22.0,38,39.5,70.0,18.8,54,24.1,68.0,14.2
